user_id,track_id,play_count,likes,skips,rating,genre
USER_0120,TRACK_0904,2,0,0,1.0,jazz
USER_0005,TRACK_0806,3,0,0,1.0,latin
USER_0112,TRACK_0069,13,1,0,4.5,jazz
USER_0089,TRACK_0195,5,0,0,1.7,indie
USER_0119,TRACK_0435,11,1,0,4.5,metal
USER_0133,TRACK_0478,9,1,0,4.5,latin
USER_0080,TRACK_0317,5,0,0,1.7,blues
USER_0004,TRACK_0896,3,0,0,1.0,blues
USER_0108,TRACK_0089,13,1,0,4.5,blues
USER_0086,TRACK_0860,17,1,0,4.5,electronic
USER_0094,TRACK_0589,16,1,0,4.5,country
USER_0108,TRACK_0047,10,1,0,4.5,r&b
USER_0112,TRACK_0516,21,1,0,4.5,rock
USER_0042,TRACK_0252,13,1,0,4.5,blues
USER_0029,TRACK_0567,5,1,0,3.2,jazz
USER_0187,TRACK_0925,10,1,0,4.5,jazz
USER_0170,TRACK_0518,10,1,0,4.5,blues
USER_0138,TRACK_0220,8,1,0,4.2,indie
USER_0059,TRACK_0401,6,1,0,3.5,r&b
USER_0175,TRACK_0003,9,1,0,4.5,jazz
USER_0040,TRACK_0151,2,1,0,2.2,rock
USER_0189,TRACK_0581,6,1,0,3.5,hip-hop
USER_0075,TRACK_0491,12,1,0,4.5,classical
USER_0158,TRACK_0804,14,1,0,4.5,pop
USER_0189,TRACK_0450,6,1,0,3.5,folk
USER_0012,TRACK_0262,8,1,0,4.2,latin
USER_0121,TRACK_0275,8,1,0,4.2,metal
USER_0186,TRACK_0605,6,1,0,3.5,reggae
USER_0077,TRACK_0423,7,1,0,3.8,hip-hop
USER_0014,TRACK_0661,12,1,0,4.5,classical
USER_0073,TRACK_0638,18,1,0,4.5,blues
USER_0115,TRACK_0122,20,1,0,4.5,pop
USER_0084,TRACK_0649,3,0,0,1.0,blues
USER_0014,TRACK_0489,8,1,0,4.2,rock
USER_0034,TRACK_0831,20,1,0,4.5,electronic
