track_id,track_name,artist,genre,release_year,duration_ms,popularity,tempo,energy,danceability,loudness,valence,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature
TRACK_0001,Midnight Dreams,The 1975,latin,2005,178513,27,81.84,0.4622,0.8229,-16.88,0.6191,0.6124,0.009,0.1609,0.1654,11,0,4
TRACK_0002,Sweet Sky,Ed Sheeran,rock,1991,144561,37,133.47,0.7419,0.3712,-11.36,0.2652,0.0429,0.0516,0.0757,0.027,3,0,4
TRACK_0003,Endless Sky,Doja Cat,jazz,2018,274472,45,87.95,0.2138,0.1682,-9.72,0.3748,0.9698,0.1346,0.0038,0.1684,0,0,4
TRACK_0004,Silent Rain,Tyler the Creator,electronic,2011,146793,21,121.62,0.648,0.8637,-17.56,0.5229,0.1849,0.1025,0.0028,0.4321,6,0,4
TRACK_0005,Lost Moment,Lizzo,folk,1992,311294,68,136.54,0.3811,0.6644,-16.3,0.564,0.3182,0.5239,0.1194,0.5049,8,0,4
TRACK_0006,Endless Mirror,Khalid,rock,2013,271349,34,97.99,0.8219,0.5823,-3.43,0.1333,0.0,0.0662,0.0264,0.1408,11,0,3
TRACK_0007,Broken Mirror,Ariana Grande,latin,2004,347143,22,168.11,0.2986,0.7412,-16.03,0.8908,0.1522,0.0008,0.1352,0.2209,6,1,4
TRACK_0008,Lost Heart,Phoebe Bridgers,latin,2012,174921,95,76.22,0.7103,0.7242,-2.74,0.4509,0.1518,0.1464,0.0321,0.0118,4,0,4
TRACK_0009,Dark Pulse,J. Cole,latin,2000,241178,58,184.21,0.4177,0.4789,-10.56,0.6463,0.6107,0.0191,0.0999,0.2575,4,0,4
TRACK_0010,Neon Wave,Ed Sheeran,folk,2010,225162,44,119.86,0.5929,0.724,-19.49,0.5659,0.4457,0.0171,0.0026,0.1821,1,0,4
TRACK_0011,Dancing Soul,Beyoncé,soul,2015,351914,92,117.45,0.42,0.5797,-4.89,0.3745,0.7353,0.039,0.0064,0.0616,7,0,4
TRACK_0012,Broken Pulse,Adele,hip-hop,2006,315825,84,86.12,0.7252,0.8958,-2.15,0.6129,0.2386,0.1163,0.1318,0.4076,6,1,4
TRACK_0013,Crystal Rhythm,Beyoncé,jazz,1995,318123,16,174.52,0.2447,0.3309,-2.79,0.1273,0.6912,0.001,0.0572,0.0972,1,0,4
TRACK_0014,Frozen Moment,Drake,reggae,2014,220039,86,105.25,0.3555,0.3659,-9.62,0.86,0.3363,0.1821,0.0362,0.6422,7,1,4
TRACK_0015,Electric Fire,Adele,folk,2007,321483,92,99.88,0.8737,0.4385,-19.26,0.4106,0.4481,0.1411,0.0559,0.0095,5,0,4
TRACK_0016,Dark Flame,The Weeknd,r&b,2006,251225,32,128.52,0.7217,0.7541,-0.29,0.4657,0.1138,0.0416,0.0892,0.2581,8,0,4
TRACK_0017,Rising Moment,SZA,folk,1999,218019,30,148.69,0.3663,0.7005,-9.28,0.6426,0.3574,0.0142,0.1443,0.0696,8,0,4
TRACK_0018,Falling Dreams,Post Malone,electronic,2013,350351,49,91.71,0.9248,0.8548,-7.1,0.5769,0.1511,0.0287,0.0939,0.088,3,0,4
TRACK_0019,Sweet Nights,Ariana Grande,soul,2021,333915,18,189.46,0.8557,0.3756,-2.45,0.2794,0.3387,0.0447,0.0863,0.3059,8,0,4
TRACK_0020,Falling Pulse,Bad Bunny,latin,2006,258326,87,185.61,0.5886,0.5913,-1.99,0.2652,0.2693,0.1504,0.0331,0.0773,6,0,4
TRACK_0021,Wild Mirror,Lana Del Rey,reggae,2013,234845,76,149.88,0.7082,0.7934,-18.32,0.7459,0.721,0.0264,0.1831,0.1678,7,0,4
TRACK_0022,Golden Shadow,Dua Lipa,jazz,2004,274256,38,91.4,0.3762,0.1975,-5.76,0.685,0.9074,0.0406,0.0315,0.247,0,0,3
TRACK_0023,Golden Lights,Tame Impala,jazz,1994,254782,40,73.11,0.4945,0.4419,-12.65,0.7994,0.8733,0.0462,0.0224,0.6502,4,1,4
TRACK_0024,Crystal Vibe,Imagine Dragons,metal,2020,183700,70,130.37,0.8879,0.4141,-8.46,0.5576,0.2209,0.1017,0.0174,0.2307,6,0,3
TRACK_0025,Frozen Voice,Radiohead,rock,2016,242427,16,62.16,0.6929,0.5224,-1.43,0.5928,0.0777,0.0838,0.2721,0.5965,10,0,3
TRACK_0026,Dancing Fire,J. Cole,r&b,2002,169862,78,104.37,0.5821,0.8577,-16.61,0.4816,0.3568,0.1221,0.2201,0.2143,7,0,4
TRACK_0027,Silent Flame,J. Cole,hip-hop,1994,236164,80,182.83,0.5174,0.7954,-5.18,0.3214,0.2087,0.1791,0.097,0.0802,1,0,4
TRACK_0028,Electric Nights,J. Cole,folk,2000,226539,72,187.85,0.4055,0.7451,-9.77,0.807,0.6671,0.1044,0.1281,0.1889,7,0,4
TRACK_0029,Neon Heart,Frank Ocean,soul,1990,222346,43,112.58,0.6914,0.7377,-18.12,0.4366,0.723,0.1295,0.0029,0.1128,7,1,4
TRACK_0030,Endless Echo,Olivia Rodrigo,blues,2002,197780,37,65.23,0.0817,0.4336,-3.55,0.436,0.6878,0.067,0.0109,0.133,0,0,4
TRACK_0031,Neon Vibe,Michael Jackson,pop,2022,343535,77,67.24,0.6342,0.8316,-9.37,0.6933,0.0624,0.1167,0.0812,0.2331,2,0,4
TRACK_0032,Dark Nights,OneRepublic,rock,1994,297002,40,97.92,0.8015,0.5163,-11.22,0.3243,0.2048,0.0123,0.0021,0.5917,6,0,4
TRACK_0033,Sweet Moment,Ed Sheeran,jazz,1995,229897,94,81.9,0.4257,0.5099,-15.0,0.3531,0.57,0.1195,0.1003,0.1943,9,1,4
TRACK_0034,Dancing Wave,Lizzo,jazz,2015,154308,95,94.68,0.4066,0.6277,-12.88,0.7887,0.551,0.2127,0.0012,0.0222,10,1,4
TRACK_0035,Golden Dreams,Queen,electronic,1996,139204,78,128.83,0.7733,0.843,-10.53,0.6381,0.0388,0.0285,0.0455,0.0915,3,1,4
TRACK_0036,Lost Nights,J. Cole,soul,2013,194707,30,147.62,0.6311,0.6493,-9.94,0.4622,0.1317,0.2912,0.086,0.032,7,1,4
TRACK_0037,Rising Dreams,Coldplay,reggae,2009,293903,23,191.63,0.2494,0.6533,-8.49,0.61,0.1186,0.0737,0.0825,0.1103,2,1,3
TRACK_0038,Midnight Pulse,Olivia Rodrigo,soul,2007,193860,87,186.75,0.5819,0.8178,-16.08,0.8728,0.3703,0.0108,0.0085,0.0033,3,1,4
TRACK_0039,Silent Rhythm,Beyoncé,latin,2006,357328,16,178.28,0.2661,0.6757,-19.53,0.4233,0.1498,0.2527,0.0265,0.0226,1,1,4
TRACK_0040,Electric Shadow,Kendrick Lamar,pop,2006,162357,66,172.49,0.8342,0.9243,-14.36,0.7663,0.1934,0.0293,0.1111,0.296,8,1,4
